iter	Passed	Remaining
0	58	58096
1	68	34096
2	78	26025
3	87	21704
4	89	17886
5	99	16413
6	109	15564
7	119	14845
8	129	14228
9	138	13727
10	148	13364
11	157	12959
12	166	12650
13	175	12392
14	185	12183
15	194	11979
16	204	11833
17	213	11629
18	222	11472
19	231	11342
20	240	11201
21	249	11084
22	254	10831
23	264	10755
24	273	10656
25	282	10595
26	295	10640
27	304	10572
28	315	10564
29	324	10504
30	334	10442
31	343	10379
32	352	10334
33	361	10273
34	370	10217
35	379	10169
36	389	10132
37	401	10163
38	411	10134
39	421	10104
40	430	10076
41	439	10028
42	449	9998
43	459	9973
44	468	9938
45	477	9913
46	486	9872
47	495	9830
48	504	9799
49	514	9769
50	522	9729
51	531	9694
52	540	9658
53	549	9625
54	558	9603
55	568	9575
56	577	9550
57	586	9525
58	595	9502
59	604	9477
60	614	9456
61	624	9443
62	633	9425
63	642	9403
64	652	9382
65	665	9411
66	676	9425
67	688	9441
68	698	9419
69	707	9397
70	717	9384
71	726	9368
72	737	9359
73	746	9347
74	756	9335
75	766	9320
76	776	9304
77	786	9291
78	795	9274
79	806	9269
80	816	9264
81	826	9256
82	836	9240
83	846	9234
84	856	9215
85	865	9193
86	874	9182
87	884	9165
88	893	9146
89	902	9127
90	912	9113
91	922	9100
92	931	9081
93	940	9062
94	949	9041
95	958	9027
96	968	9014
97	977	8994
98	986	8976
99	995	8960
100	1004	8944
101	1014	8932
102	1024	8919
103	1033	8906
104	1042	8886
105	1051	8865
106	1060	8846
107	1069	8832
108	1078	8817
109	1088	8803
110	1097	8793
111	1107	8781
112	1116	8767
113	1126	8754
114	1135	8740
115	1145	8726
116	1154	8710
117	1163	8698
118	1173	8684
119	1182	8671
120	1192	8659
121	1201	8647
122	1210	8632
123	1220	8620
124	1230	8612
125	1239	8599
126	1248	8582
127	1257	8568
128	1267	8558
129	1277	8548
130	1287	8540
131	1301	8556
132	1311	8547
133	1320	8534
134	1330	8522
135	1339	8510
136	1348	8497
137	1358	8486
138	1367	8472
139	1377	8460
140	1387	8450
141	1396	8438
142	1405	8426
143	1415	8416
144	1425	8407
145	1435	8397
146	1445	8386
147	1454	8374
148	1464	8362
149	1473	8348
150	1482	8337
151	1491	8322
152	1501	8309
153	1510	8298
154	1519	8285
155	1529	8273
156	1538	8261
157	1549	8255
158	1558	8245
159	1568	8235
160	1578	8224
161	1587	8211
162	1597	8202
163	1606	8191
164	1616	8179
165	1625	8164
166	1634	8153
167	1643	8139
168	1653	8129
169	1662	8117
170	1672	8106
171	1681	8094
172	1692	8089
173	1701	8076
174	1710	8065
175	1720	8053
176	1729	8043
177	1739	8033
178	1748	8021
179	1758	8009
180	1767	7997
