iter	Passed	Remaining
0	46	46771
1	47	23710
2	48	15977
3	48	12110
4	49	9790
5	49	8237
6	50	7129
7	50	6298
8	51	5650
9	51	5135
10	52	4708
11	52	4360
12	53	4049
13	53	3771
14	53	3531
15	53	3320
16	54	3134
17	55	3005
18	55	2856
19	55	2722
20	55	2601
21	56	2491
22	56	2391
23	56	2300
24	56	2217
25	57	2138
26	57	2066
27	57	1999
28	57	1936
29	58	1878
30	58	1822
31	58	1770
32	58	1721
33	58	1676
34	59	1632
35	59	1591
36	59	1552
37	59	1515
38	60	1480
39	60	1447
40	60	1416
41	60	1386
42	60	1357
43	61	1329
44	61	1303
45	61	1278
46	61	1254
47	62	1231
48	62	1208
49	62	1187
50	62	1167
51	62	1147
52	63	1128
53	63	1110
54	63	1093
55	63	1076
56	64	1059
57	64	1044
58	64	1029
59	64	1014
60	64	999
61	65	985
62	65	972
63	65	959
64	65	946
65	66	934
66	66	922
67	66	911
68	66	900
69	66	889
70	67	878
71	67	868
72	67	858
73	67	848
74	68	838
75	68	829
76	68	820
77	68	811
78	68	803
79	69	794
80	69	786
81	69	778
82	69	769
83	69	762
84	70	754
85	70	747
86	70	740
87	70	733
88	70	726
89	71	720
90	71	713
91	71	707
92	71	700
93	72	694
94	72	688
95	72	683
96	72	677
97	72	671
98	73	666
99	73	660
100	73	655
101	73	650
102	74	645
103	74	640
104	74	635
105	74	630
106	74	625
107	75	621
108	75	616
109	75	611
110	75	607
111	76	603
112	76	598
113	76	594
114	76	590
115	76	586
116	77	581
117	77	577
118	77	574
119	77	571
120	78	567
121	78	563
122	78	560
123	78	556
124	79	553
125	79	550
126	79	546
127	79	543
128	79	539
129	80	536
130	80	533
131	80	530
132	80	527
133	81	523
134	81	520
135	81	517
136	81	514
137	81	511
138	82	508
139	82	506
140	82	503
141	82	499
142	82	497
143	83	494
144	83	491
145	83	491
146	84	488
147	84	485
148	84	483
149	84	480
150	85	478
151	85	475
152	85	473
153	85	470
154	85	468
155	86	466
156	86	463
157	86	461
158	86	459
159	87	456
160	87	454
161	87	451
162	87	449
163	87	447
164	88	445
165	88	443
166	88	441
167	88	439
168	88	437
169	89	435
170	89	433
171	89	431
172	89	429
173	90	427
174	90	425
175	90	423
176	90	421
177	90	419
178	91	417
179	91	416
180	91	414
181	91	412
182	91	410
183	92	408
184	92	407
185	92	405
186	92	403
187	93	401
188	93	400
189	93	398
190	93	397
191	93	395
192	94	393
193	94	392
194	94	390
195	94	389
196	95	387
197	95	386
198	95	384
199	95	383
200	96	382
201	96	380
202	96	379
203	96	377
204	97	376
205	97	375
206	97	373
207	97	372
208	98	370
209	98	369
210	98	368
211	98	366
212	98	365
213	99	364
214	99	363
215	99	361
216	99	360
217	100	359
218	100	357
219	100	356
220	100	355
221	100	353
222	101	352
223	101	351
224	101	349
225	101	348
226	102	347
227	102	346
228	102	345
229	102	343
230	102	342
231	103	341
232	103	340
233	103	339
234	103	338
235	104	337
236	104	336
237	104	335
238	104	333
239	105	332
240	105	331
241	105	330
242	105	329
243	106	328
244	106	327
245	106	326
246	106	325
247	106	324
248	107	323
249	107	322
250	107	321
251	107	320
252	108	319
253	108	318
254	108	317
255	108	316
256	109	315
257	109	314
258	109	313
259	109	312
260	110	311
261	110	310
262	110	309
263	110	308
264	110	307
265	111	306
266	111	305
267	111	304
268	111	303
269	111	302
270	112	301
271	112	300
272	112	300
273	112	299
274	113	298
275	113	297
276	113	296
277	113	295
278	113	294
279	114	293
280	114	292
281	114	291
282	114	291
283	115	290
284	115	289
285	115	288
286	115	287
287	115	286
288	116	285
289	116	284
290	116	284
291	116	283
292	117	282
293	117	281
294	117	280
295	117	279
296	117	279
297	118	278
298	118	277
299	118	276
300	118	276
301	119	275
302	119	274
303	119	273
304	119	273
305	120	272
306	120	271
307	120	270
308	120	269
309	120	269
310	121	268
311	121	267
312	121	266
313	121	266
314	121	265
315	122	264
316	122	263
317	122	263
318	122	262
319	123	261
320	123	260
321	123	260
322	123	259
323	123	258
324	124	257
325	124	257
326	124	256
327	124	255
328	125	255
329	125	254
330	125	253
331	125	253
332	126	252
333	126	251
334	126	251
335	126	250
336	126	249
337	127	249
338	127	248
339	127	247
340	127	246
341	128	246
342	128	245
343	128	244
344	128	244
345	128	243
346	129	242
347	129	242
348	129	241
349	129	241
350	129	240
351	130	239
352	130	239
353	130	238
354	130	237
355	131	237
356	131	236
357	131	235
358	131	235
359	131	234
360	132	233
361	132	233
362	132	232
363	132	232
364	133	231
365	133	231
366	133	230
367	133	229
368	134	229
369	134	228
370	134	228
371	134	227
372	134	226
373	135	226
374	135	225
375	135	225
376	135	224
377	136	223
378	136	223
379	136	222
380	136	222
381	136	221
382	137	221
383	137	220
384	137	219
385	137	219
386	138	218
387	138	218
388	138	217
389	138	216
390	138	216
391	139	215
392	139	215
393	139	214
394	139	214
395	139	213
396	140	212
397	140	212
398	140	211
399	140	211
400	141	210
401	141	210
402	141	209
403	141	209
404	141	208
405	142	207
406	142	207
407	142	206
408	142	206
409	142	205
410	143	205
411	143	204
412	143	204
413	143	203
414	144	203
415	144	202
416	144	202
417	144	201
418	144	200
419	145	200
420	145	199
421	145	199
422	145	198
423	146	198
424	146	197
425	146	197
426	146	196
427	146	196
428	147	195
